gen_1_0;gen_2_1;gen_5_2;gen_5_3;gen_7_4;gen_0_5
91.1;89.2;10.0;0.0;0.0;89.2
91.1;89.2;10.0;0.0;0.0;89.2
91.0;89.0;9.9;0.0;0.0;89.0
90.7;88.8;9.8;0.0;0.0;88.8
90.4;88.5;9.8;0.0;0.0;88.5
90.0;88.1;9.7;0.0;0.0;88.1
89.5;87.6;9.7;0.0;0.0;87.6
88.9;87.0;9.6;0.0;0.0;87.0
88.3;86.4;9.6;0.0;0.0;86.4
87.7;85.8;9.5;0.0;0.0;85.8
87.1;85.2;9.4;0.0;0.0;85.2
86.5;84.7;9.3;0.0;0.0;84.7
86.1;84.3;9.2;0.0;0.0;84.3
85.8;83.9;9.1;0.0;0.0;83.9
85.6;83.8;9.1;0.0;0.0;83.8
85.5;83.7;9.1;0.0;0.0;83.7
85.6;83.8;8.9;0.0;0.0;83.8
85.7;83.8;8.9;0.0;0.0;83.8
85.7;83.9;8.9;0.0;0.0;83.9
85.8;84.0;8.8;0.0;0.0;84.0
85.8;84.0;8.7;0.0;0.0;84.0
85.7;83.9;8.7;0.0;0.0;83.9
85.6;83.7;8.6;0.0;0.0;83.7
85.4;83.6;8.6;0.0;0.0;83.6
85.3;83.5;8.5;0.0;0.0;83.5
85.2;83.4;8.5;0.0;0.0;83.4
85.2;83.3;8.5;0.0;0.0;83.3
85.1;83.3;8.4;0.0;0.0;83.3
85.1;83.3;8.4;0.0;0.0;83.3
85.0;83.2;8.4;0.0;0.0;83.2
84.9;83.1;8.4;0.0;0.0;83.1
84.8;83.0;8.3;0.0;0.0;83.0
84.5;82.7;8.3;0.0;0.0;82.7
84.1;82.3;8.3;0.0;0.0;82.3
83.7;81.9;8.3;0.0;0.0;81.9
83.3;81.5;8.3;0.0;0.0;81.5
82.8;81.1;8.3;0.0;0.0;81.1
82.5;80.7;8.3;0.0;0.0;80.7
82.1;80.4;8.3;0.0;0.0;80.4
81.9;80.2;8.3;0.0;0.0;80.2
81.7;80.0;8.2;0.0;0.0;80.0
81.5;79.8;8.2;0.0;0.0;79.8
81.3;79.6;8.2;0.0;0.0;79.6
81.1;79.4;8.2;0.0;0.0;79.4
80.9;79.2;8.2;0.0;0.0;79.2
80.7;79.0;8.2;0.0;0.0;79.0
80.5;78.7;8.2;0.0;0.0;78.7
80.3;78.6;8.1;0.0;0.0;78.6
80.1;78.4;8.1;0.0;0.0;78.4
79.9;78.3;8.1;0.0;0.0;78.3
79.9;78.2;8.0;0.0;0.0;78.2
79.9;78.2;8.0;0.0;0.0;78.2
79.9;78.2;8.0;0.0;0.0;78.2
80.0;78.3;7.8;0.0;0.0;78.3
80.0;78.3;7.8;0.0;0.0;78.3
80.1;78.4;7.7;0.0;0.0;78.4
80.1;78.4;7.7;0.0;0.0;78.4
80.1;78.4;7.7;0.0;0.0;78.4
80.2;78.5;7.6;0.0;0.0;78.5
80.3;78.6;7.5;0.0;0.0;78.6
80.4;78.7;7.5;0.0;0.0;78.7
80.7;79.0;7.4;0.0;0.0;79.0
81.0;79.3;7.4;0.0;0.0;79.3
81.4;79.7;7.3;0.0;0.0;79.7
81.9;80.1;7.2;0.0;0.0;80.1
82.3;80.6;7.2;0.0;0.0;80.6
82.8;81.1;7.2;0.0;0.0;81.1
83.2;81.5;7.1;0.0;0.0;81.5
83.6;81.8;7.1;0.0;0.0;81.8
84.0;82.2;7.0;0.0;0.0;82.2
84.3;82.5;7.0;0.0;0.0;82.5
84.7;82.9;6.9;0.0;0.0;82.9
85.2;83.3;6.9;0.0;0.0;83.3
85.7;83.9;6.9;0.0;0.0;83.9
86.4;84.5;6.8;0.0;0.0;84.5
87.1;85.3;6.8;0.0;0.0;85.3
88.0;86.1;6.8;0.0;0.0;86.1
88.8;86.9;6.8;0.0;0.0;86.9
89.7;87.8;6.8;0.0;0.0;87.8
90.5;88.6;6.7;0.0;0.0;88.6
91.2;89.3;6.7;0.0;0.0;89.3
91.9;90.0;6.7;0.0;0.0;90.0
92.6;90.6;6.7;0.0;0.0;90.6
93.2;91.2;6.7;0.0;0.0;91.2
93.8;91.8;6.7;0.0;0.0;91.8
94.4;92.4;6.7;0.1;0.1;92.4
95.0;93.0;6.6;0.2;0.1;93.0
95.6;93.6;6.6;0.3;0.2;93.6
96.2;94.2;6.6;0.4;0.2;94.2
96.7;94.7;6.6;0.6;0.3;94.7
97.2;95.1;6.6;0.9;0.5;95.1
97.5;95.5;6.6;1.3;0.7;95.5
97.8;95.7;6.5;1.7;0.9;95.7
97.9;95.8;6.5;2.2;1.1;95.8
98.0;95.9;6.5;2.6;1.4;95.9
98.0;95.9;6.5;3.0;1.6;95.9
97.9;95.8;6.4;3.5;2.0;95.8
97.6;95.6;6.4;4.2;2.5;95.6
97.3;95.2;6.3;5.1;3.1;95.2
96.8;94.7;6.3;6.0;3.8;94.7
96.3;94.3;6.3;6.9;4.3;94.3
96.0;94.0;6.2;7.6;4.7;94.0
95.8;93.8;6.1;8.1;4.9;93.8
95.7;93.6;6.1;8.6;5.0;93.6
95.3;93.3;6.0;9.5;5.2;93.3
94.7;92.7;6.0;10.8;5.9;92.7
93.8;91.8;6.0;12.6;6.8;91.8
93.0;91.0;5.9;14.4;7.7;91.0
92.2;90.3;5.8;15.9;8.6;90.3
91.9;90.0;5.8;16.5;9.1;90.0
91.9;89.9;5.8;16.5;9.3;89.9
92.0;90.0;5.7;16.1;9.5;90.0
92.0;90.1;5.7;15.6;9.8;90.1
91.9;89.9;5.7;15.5;10.3;89.9
91.6;89.6;5.6;15.7;11.0;89.6
91.2;89.2;5.6;16.1;11.6;89.2
90.9;89.0;5.6;16.5;11.9;89.0
90.8;88.9;5.5;16.8;11.5;88.9
90.9;88.9;5.5;17.0;10.9;88.9
90.8;88.9;5.5;17.5;10.3;88.9
90.4;88.5;5.5;18.3;10.2;88.5
89.6;87.7;5.5;19.6;10.9;87.7
88.5;86.6;5.5;21.1;12.2;86.6
87.5;85.7;5.5;22.3;13.4;85.7
87.0;85.2;5.5;22.8;14.0;85.2
87.0;85.2;5.5;22.4;13.9;85.2
87.5;85.7;5.5;21.2;13.0;85.7
88.2;86.4;5.5;19.8;11.9;86.4
88.8;86.9;5.6;18.5;10.9;86.9
89.0;87.1;5.6;17.9;10.5;87.1
88.8;86.9;5.6;18.0;10.6;86.9
88.1;86.2;5.6;18.9;11.2;86.2
87.1;85.3;5.7;20.5;12.1;85.3
85.9;84.1;5.7;22.6;13.1;84.1
84.7;82.9;5.8;24.8;14.2;82.9
83.8;82.0;5.8;26.5;14.9;82.0
83.4;81.6;5.8;27.1;15.1;81.6
83.7;81.9;5.8;26.5;14.7;81.9
84.4;82.6;5.9;24.9;14.0;82.6
85.3;83.5;5.9;23.1;13.1;83.5
86.0;84.2;6.0;21.5;12.4;84.2
86.3;84.4;6.0;20.8;12.3;84.4
86.0;84.2;6.0;21.0;12.6;84.2
85.4;83.6;6.0;22.0;13.1;83.6
84.5;82.7;6.1;23.6;13.7;82.7
83.4;81.7;6.1;25.6;14.2;81.7
82.5;80.7;6.1;27.3;14.5;80.7
81.8;80.1;6.1;28.4;14.5;80.1
81.7;80.0;6.1;28.2;14.3;80.0
82.2;80.4;6.1;26.4;13.8;80.4
83.1;81.3;6.2;23.7;13.0;81.3
84.2;82.4;6.1;20.8;12.3;82.4
85.0;83.2;6.1;18.8;11.7;83.2
85.1;83.3;6.1;18.4;11.4;83.3
85.0;83.2;6.1;19.1;11.3;83.2
84.8;83.0;6.1;19.9;11.0;83.0
84.9;83.1;6.1;19.9;10.6;83.1
85.5;83.7;6.1;18.6;9.7;83.7
86.3;84.4;6.1;16.6;8.7;84.4
86.8;85.0;6.0;14.8;7.9;85.0
86.8;84.9;6.1;14.1;7.6;84.9
85.9;84.0;6.0;15.0;8.2;84.0
84.5;82.7;6.0;16.8;9.1;82.7
83.2;81.4;6.0;18.6;10.1;81.4
82.4;80.6;5.9;19.5;10.8;80.6
82.2;80.5;5.9;19.0;10.9;80.5
82.6;80.8;5.9;17.6;10.5;80.8
83.2;81.4;5.9;15.8;9.9;81.4
83.8;82.1;5.9;14.1;9.1;82.1
84.4;82.6;5.8;13.0;8.3;82.6
84.6;82.8;5.8;12.5;7.6;82.8
84.6;82.8;5.8;12.5;7.2;82.8
84.4;82.6;5.7;12.8;7.2;82.6
84.0;82.2;5.7;13.3;7.5;82.2
83.5;81.7;5.7;13.7;8.0;81.7
83.2;81.4;5.6;13.7;8.2;81.4
83.1;81.3;5.6;13.2;8.0;81.3
83.4;81.6;5.6;12.0;7.2;81.6
83.8;82.1;5.6;10.5;6.1;82.1
84.3;82.6;5.5;9.0;5.0;82.6
84.7;82.9;5.5;7.8;4.1;82.9
84.8;83.0;5.5;7.0;3.5;83.0
84.9;83.1;5.4;6.4;3.2;83.1
85.0;83.2;5.4;5.8;2.9;83.2
85.1;83.3;5.4;5.1;2.6;83.3
85.5;83.6;5.4;4.2;2.2;83.6
85.8;83.9;5.4;3.3;1.8;83.9
86.0;84.2;5.4;2.6;1.4;84.2
86.1;84.3;5.3;2.0;1.2;84.3
86.1;84.3;5.3;1.8;1.0;84.3
86.0;84.2;5.3;1.6;0.9;84.2
85.9;84.1;5.3;1.4;0.8;84.1
85.9;84.1;5.3;1.3;0.7;84.1
85.8;84.0;5.3;1.0;0.6;84.0
85.9;84.0;5.2;0.8;0.5;84.0
85.9;84.1;5.2;0.5;0.3;84.1
85.9;84.1;5.2;0.3;0.2;84.1
85.9;84.1;5.2;0.2;0.1;84.1
85.9;84.1;5.2;0.1;0.1;84.1
85.9;84.1;5.2;0.0;0.0;84.1
85.9;84.1;5.2;0.0;0.0;84.1
85.8;84.0;5.2;0.0;0.0;84.0
85.8;84.0;5.2;0.0;0.0;84.0
85.8;84.0;5.2;0.0;0.0;84.0
85.8;84.0;5.3;0.0;0.0;84.0
85.9;84.1;5.3;0.0;0.0;84.1
86.0;84.1;5.3;0.0;0.0;84.1
86.1;84.3;5.3;0.0;0.0;84.3
86.2;84.4;5.3;0.0;0.0;84.4
86.5;84.6;5.3;0.0;0.0;84.6
86.7;84.9;5.3;0.0;0.0;84.9
87.1;85.2;5.3;0.0;0.0;85.2
87.5;85.6;5.4;0.0;0.0;85.6
87.9;86.1;5.3;0.0;0.0;86.1
88.4;86.6;5.4;0.0;0.0;86.6
89.0;87.1;5.4;0.0;0.0;87.1
89.5;87.6;5.4;0.0;0.0;87.6
90.1;88.2;5.5;0.0;0.0;88.2
90.6;88.7;5.5;0.0;0.0;88.7
91.1;89.2;5.5;0.0;0.0;89.2
91.6;89.7;5.5;0.0;0.0;89.7
92.1;90.2;5.6;0.0;0.0;90.2
92.6;90.7;5.5;0.0;0.0;90.7
93.2;91.2;5.6;0.0;0.0;91.2
93.7;91.7;5.6;0.0;0.0;91.7
94.3;92.3;5.6;0.0;0.0;92.3
94.8;92.8;5.6;0.0;0.0;92.8
95.3;93.3;5.7;0.0;0.0;93.3
95.7;93.7;5.7;0.0;0.0;93.7
96.1;94.0;5.7;0.0;0.0;94.0
96.3;94.2;5.7;0.0;0.0;94.2
96.3;94.3;5.7;0.0;0.0;94.3
96.3;94.3;5.8;0.0;0.0;94.3
96.3;94.2;5.8;0.0;0.0;94.2
96.1;94.1;5.8;0.0;0.0;94.1
96.0;93.9;5.8;0.0;0.0;93.9
95.7;93.7;5.8;0.0;0.0;93.7
95.6;93.5;5.8;0.0;0.0;93.5
95.3;93.3;5.7;0.0;0.0;93.3
95.1;93.0;5.8;0.0;0.0;93.0
94.8;92.8;5.7;0.0;0.0;92.8
94.5;92.5;5.7;0.0;0.0;92.5
94.1;92.1;5.7;0.0;0.0;92.1
93.8;91.8;5.7;0.0;0.0;91.8
93.4;91.5;5.7;0.0;0.0;91.5
93.0;91.1;5.6;0.0;0.0;91.1
92.6;90.7;5.6;0.0;0.0;90.7
92.2;90.3;5.6;0.0;0.0;90.3
91.8;89.9;5.6;0.0;0.0;89.9
91.4;89.5;5.5;0.0;0.0;89.5
91.0;89.0;5.5;0.0;0.0;89.0
90.6;88.6;5.5;0.0;0.0;88.6
90.2;88.3;5.5;0.0;0.0;88.3
89.8;87.9;5.4;0.0;0.0;87.9
89.5;87.6;5.4;0.0;0.0;87.6
89.2;87.3;5.4;0.0;0.0;87.3
89.0;87.1;5.3;0.0;0.0;87.1
88.7;86.8;5.3;0.0;0.0;86.8
88.4;86.5;5.4;0.0;0.0;86.5
88.2;86.3;5.4;0.0;0.0;86.3
87.9;86.0;5.3;0.0;0.0;86.0
87.6;85.8;5.3;0.0;0.0;85.8
87.4;85.5;5.3;0.0;0.0;85.5
87.1;85.3;5.4;0.0;0.0;85.3
86.9;85.0;5.4;0.0;0.0;85.0
86.7;84.8;5.4;0.0;0.0;84.8
86.5;84.7;5.5;0.0;0.0;84.7
86.4;84.6;5.5;0.0;0.0;84.6
86.4;84.6;5.6;0.0;0.0;84.6
86.5;84.6;5.7;0.0;0.0;84.6
86.7;84.9;5.7;0.0;0.0;84.9
87.1;85.3;5.8;0.0;0.0;85.3
87.7;85.9;5.8;0.0;0.0;85.9
88.4;86.5;5.9;0.0;0.0;86.5
89.1;87.3;6.0;0.0;0.0;87.3
89.8;87.9;6.1;0.0;0.0;87.9
90.4;88.5;6.2;0.0;0.0;88.5
90.8;88.9;6.2;0.0;0.0;88.9
90.9;89.0;6.3;0.0;0.0;89.0
90.8;88.9;6.4;0.0;0.0;88.9
90.6;88.7;6.5;0.0;0.0;88.7
90.4;88.4;6.6;0.0;0.0;88.4
90.1;88.2;6.6;0.0;0.0;88.2
89.9;88.0;6.7;0.0;0.0;88.0
89.8;87.9;6.8;0.0;0.0;87.9
89.7;87.8;6.8;0.0;0.0;87.8
89.8;87.9;6.9;0.0;0.0;87.9
89.8;87.9;6.9;0.0;0.0;87.9
89.8;87.9;7.0;0.0;0.0;87.9
