load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
21.3;100.5;50.1;8.2;11.9;31.8;9.4;3.6;6.6;15.1;15.6
21.3;100.5;50.1;8.2;11.9;31.8;9.4;3.6;6.6;15.1;15.6
21.2;100.4;50.0;8.2;11.8;31.7;9.4;3.6;6.6;15.1;15.6
21.1;100.2;49.8;8.1;11.8;31.6;9.4;3.6;6.6;15.1;15.6
21.1;100.0;49.5;8.1;11.7;31.5;9.4;3.6;6.6;15.0;15.6
21.0;99.6;49.2;8.1;11.7;31.3;9.3;3.6;6.5;14.9;15.5
20.8;99.1;48.9;8.0;11.6;31.1;9.3;3.6;6.5;14.8;15.5
20.7;98.6;48.6;8.0;11.5;30.9;9.2;3.5;6.4;14.7;15.4
20.6;98.0;48.2;7.9;11.4;30.6;9.1;3.5;6.4;14.6;15.3
20.5;97.4;47.9;7.8;11.3;30.4;9.0;3.5;6.3;14.4;15.2
20.3;96.8;47.5;7.8;11.2;30.1;9.0;3.5;6.3;14.3;15.1
20.2;96.3;47.2;7.7;11.2;29.9;8.9;3.4;6.2;14.2;15.0
20.1;95.9;47.0;7.7;11.1;29.7;8.8;3.4;6.1;14.1;14.9
20.1;95.7;46.8;7.7;11.1;29.5;8.8;3.4;6.1;14.0;14.9
20.0;95.6;46.6;7.7;11.0;29.4;8.8;3.4;6.1;13.9;14.9
20.0;95.7;46.5;7.7;11.0;29.3;8.8;3.4;6.1;13.9;14.9
20.0;95.8;46.5;7.6;11.0;29.3;8.8;3.4;6.0;13.9;14.9
20.0;96.0;46.4;7.6;11.0;29.3;8.8;3.3;6.0;14.0;14.9
20.0;96.3;46.4;7.6;11.0;29.2;8.8;3.3;6.0;14.0;14.9
20.0;96.4;46.3;7.6;11.0;29.2;8.8;3.3;6.0;14.0;15.0
19.9;96.4;46.3;7.6;10.9;29.1;8.8;3.3;6.0;14.0;15.0
19.9;96.4;46.2;7.6;10.9;29.1;8.8;3.3;6.0;13.9;15.0
19.9;96.3;46.1;7.6;10.9;29.0;8.8;3.3;6.0;13.9;14.9
19.9;96.2;46.0;7.6;10.9;28.9;8.8;3.3;6.0;13.9;14.9
19.8;96.1;46.0;7.6;10.9;28.9;8.7;3.3;6.0;13.8;14.9
19.8;96.0;45.9;7.6;10.9;28.8;8.7;3.3;6.0;13.8;14.9
19.8;95.9;45.9;7.6;10.9;28.8;8.7;3.3;6.0;13.8;14.8
19.8;95.9;45.9;7.6;10.9;28.8;8.7;3.3;5.9;13.8;14.8
19.9;95.8;45.9;7.6;10.9;28.7;8.7;3.3;5.9;13.7;14.8
19.9;95.8;45.9;7.5;10.8;28.7;8.7;3.3;5.9;13.7;14.8
19.8;95.7;45.9;7.5;10.8;28.7;8.6;3.3;5.9;13.7;14.8
19.8;95.5;45.8;7.5;10.8;28.6;8.6;3.3;5.9;13.6;14.7
19.8;95.2;45.7;7.5;10.8;28.5;8.6;3.2;5.9;13.6;14.7
19.7;94.9;45.5;7.5;10.7;28.3;8.5;3.2;5.8;13.5;14.6
19.6;94.5;45.2;7.4;10.7;28.1;8.5;3.2;5.8;13.4;14.6
19.6;94.1;45.0;7.4;10.6;28.0;8.4;3.2;5.8;13.3;14.5
19.5;93.8;44.7;7.4;10.6;27.8;8.4;3.2;5.7;13.2;14.4
19.4;93.4;44.5;7.3;10.5;27.6;8.3;3.1;5.7;13.1;14.3
19.4;93.1;44.4;7.3;10.5;27.5;8.3;3.1;5.7;13.1;14.3
19.3;92.9;44.2;7.3;10.4;27.4;8.2;3.1;5.6;13.0;14.2
19.3;92.7;44.1;7.3;10.4;27.3;8.2;3.1;5.6;13.0;14.2
19.3;92.5;44.0;7.3;10.4;27.3;8.2;3.1;5.6;12.9;14.2
19.2;92.3;43.9;7.2;10.4;27.2;8.2;3.1;5.6;12.9;14.1
19.2;92.1;43.8;7.2;10.3;27.1;8.2;3.1;5.6;12.8;14.1
19.2;91.9;43.7;7.2;10.3;27.0;8.1;3.1;5.5;12.8;14.0
19.1;91.6;43.6;7.2;10.3;26.9;8.1;3.1;5.5;12.8;14.0
19.1;91.4;43.5;7.2;10.2;26.8;8.1;3.1;5.5;12.7;13.9
19.1;91.2;43.3;7.1;10.2;26.7;8.0;3.0;5.5;12.7;13.9
19.1;91.1;43.2;7.1;10.2;26.6;8.0;3.0;5.5;12.7;13.9
19.1;91.0;43.2;7.1;10.2;26.5;8.0;3.0;5.5;12.6;13.9
19.1;90.9;43.1;7.1;10.1;26.5;8.0;3.0;5.5;12.6;13.8
19.1;90.9;43.2;7.1;10.1;26.5;8.0;3.0;5.5;12.6;13.8
19.1;90.9;43.2;7.1;10.1;26.5;8.0;3.0;5.5;12.6;13.8
19.1;90.9;43.2;7.1;10.1;26.5;8.0;3.0;5.5;12.6;13.8
19.1;90.9;43.3;7.1;10.1;26.5;8.0;3.0;5.5;12.5;13.8
19.1;91.0;43.3;7.1;10.1;26.5;8.0;3.0;5.4;12.5;13.8
19.2;91.0;43.3;7.1;10.1;26.6;8.0;3.0;5.4;12.5;13.8
19.2;91.0;43.4;7.1;10.1;26.6;8.0;3.0;5.4;12.5;13.8
19.2;91.0;43.4;7.1;10.1;26.6;8.0;3.0;5.5;12.5;13.8
19.2;91.0;43.5;7.1;10.2;26.6;8.0;3.0;5.5;12.5;13.8
19.3;91.1;43.6;7.1;10.2;26.6;8.0;3.0;5.5;12.5;13.8
