gen_1_0;gen_2_1;gen_5_2;gen_5_3;gen_7_4;gen_0_5
84.7;82.9;6.3;0.0;0.0;82.9
84.6;82.9;6.3;0.0;0.0;82.9
84.5;82.7;6.3;0.0;0.0;82.7
84.3;82.5;6.2;0.0;0.0;82.5
83.9;82.1;6.2;0.0;0.0;82.1
83.5;81.7;6.2;0.0;0.0;81.7
83.0;81.3;6.2;0.0;0.0;81.3
82.4;80.7;6.2;0.0;0.0;80.7
81.8;80.1;6.2;0.0;0.0;80.1
81.2;79.5;6.2;0.0;0.0;79.5
80.6;78.9;6.2;0.0;0.0;78.9
80.0;78.3;6.2;0.0;0.0;78.3
79.5;77.8;6.2;0.0;0.0;77.8
79.2;77.5;6.2;0.0;0.0;77.5
79.0;77.3;6.2;0.0;0.0;77.3
79.0;77.3;6.2;0.0;0.0;77.3
79.0;77.3;6.2;0.0;0.0;77.3
79.1;77.4;6.2;0.0;0.0;77.4
79.2;77.5;6.2;0.0;0.0;77.5
79.3;77.6;6.2;0.0;0.0;77.6
79.2;77.6;6.2;0.0;0.0;77.6
79.2;77.5;6.2;0.0;0.0;77.5
79.1;77.4;6.3;0.0;0.0;77.4
78.9;77.3;6.3;0.0;0.0;77.3
78.8;77.2;6.3;0.0;0.0;77.2
78.7;77.1;6.3;0.0;0.0;77.1
78.7;77.0;6.4;0.0;0.0;77.0
78.6;77.0;6.4;0.0;0.0;77.0
78.6;77.0;6.4;0.0;0.0;77.0
78.6;76.9;6.4;0.0;0.0;76.9
78.5;76.8;6.4;0.0;0.0;76.8
78.3;76.7;6.4;0.0;0.0;76.7
78.1;76.4;6.5;0.0;0.0;76.4
77.8;76.1;6.5;0.0;0.0;76.1
77.4;75.8;6.5;0.0;0.0;75.8
77.0;75.4;6.6;0.0;0.0;75.4
76.7;75.1;6.5;0.0;0.0;75.1
76.4;74.8;6.6;0.0;0.0;74.8
76.1;74.5;6.6;0.0;0.0;74.5
75.9;74.3;6.6;0.0;0.0;74.3
75.8;74.2;6.7;0.0;0.0;74.2
75.6;74.0;6.6;0.0;0.0;74.0
75.5;73.9;6.7;0.0;0.0;73.9
75.3;73.7;6.7;0.0;0.0;73.7
75.2;73.6;6.7;0.0;0.0;73.6
75.0;73.4;6.7;0.0;0.0;73.4
74.8;73.2;6.6;0.0;0.0;73.2
74.6;73.1;6.7;0.0;0.0;73.1
74.5;72.9;6.7;0.0;0.0;72.9
74.4;72.9;6.6;0.0;0.0;72.9
74.4;72.8;6.6;0.0;0.0;72.8
74.4;72.9;6.6;0.0;0.0;72.9
74.5;72.9;6.6;0.0;0.0;72.9
74.6;73.0;6.5;0.0;0.0;73.0
74.7;73.1;6.5;0.0;0.0;73.1
74.7;73.2;6.4;0.0;0.0;73.2
74.8;73.2;6.4;0.0;0.0;73.2
74.8;73.2;6.3;0.0;0.0;73.2
74.9;73.3;6.3;0.0;0.0;73.3
75.0;73.4;6.3;0.0;0.0;73.4
75.2;73.6;6.2;0.0;0.0;73.6
75.4;73.8;6.1;0.0;0.0;73.8
75.8;74.2;6.1;0.0;0.0;74.2
76.2;74.6;6.1;0.0;0.0;74.6
76.7;75.1;6.0;0.0;0.0;75.1
77.2;75.6;5.9;0.0;0.0;75.6
77.7;76.1;5.9;0.0;0.0;76.1
78.2;76.5;5.9;0.0;0.0;76.5
78.6;76.9;5.8;0.0;0.0;76.9
78.9;77.3;5.8;0.0;0.0;77.3
79.3;77.6;5.7;0.0;0.0;77.6
79.7;78.0;5.7;0.0;0.0;78.0
80.2;78.5;5.7;0.0;0.0;78.5
